CIF,Account Number,Account Name,Product Type,Region,End Balance,Days_Since_Last_Txn,Dormancy_Risk_Score
CIF01000375,ACC0002000375,Customer_376,Couples Saving Deposit,Amhara,486788.37,338,0.9999997404758517
CIF01000347,ACC0002000347,Customer_348,Abew Saving Account,Oromia,19688.52,217,0.9999997404758517
CIF01000345,ACC0002000345,Customer_346,Ahati Saving Account,Addis Ababa,332494.3,345,0.9999997404758517
CIF01000634,ACC0002000634,Customer_635,Blatena Saving Account,Sidama,10119.87,322,0.9999997404758517
CIF01000631,ACC0002000631,Customer_632,Ordinary Saving Account,Dire Dawa,76126.45,358,0.9999997404758517
CIF01000630,ACC0002000630,Customer_631,Ordinary Saving Account,Oromia,38206.54,259,0.9999997404758517
CIF01000618,ACC0002000618,Customer_619,Werazut Saving Account,SNNPR,30167.67,325,0.9999997404758517
CIF01000602,ACC0002000602,Customer_603,Blatena Saving Account,Addis Ababa,1568.91,300,0.9999997404758517
CIF01000594,ACC0002000594,Customer_595,Werazut Saving Account,Amhara,52410.1,186,0.9999997404758517
CIF01000581,ACC0002000581,Customer_582,Special Saving Account,Harari,7052.0,324,0.9999997404758517
CIF01000577,ACC0002000577,Customer_578,Special Saving Account,Dire Dawa,2423.53,195,0.9999997404758517
CIF01000576,ACC0002000576,Customer_577,Ordinary Saving Account,SNNPR,1568.9,332,0.9999997404758517
CIF01000570,ACC0002000570,Customer_571,Werazut Saving Account,Somali,3709.18,240,0.9999997404758517
CIF01000564,ACC0002000564,Customer_565,Equb Saving Account,Addis Ababa,6435.79,279,0.9999997404758517
CIF01000561,ACC0002000561,Customer_562,Ordinary Saving Account,Amhara,12107.31,261,0.9999997404758517
CIF01000558,ACC0002000558,Customer_559,Special Saving Account,Sidama,26390.93,363,0.9999997404758517
CIF01000557,ACC0002000557,Customer_558,Special Saving Account,SNNPR,10762.62,221,0.9999997404758517
CIF01000555,ACC0002000555,Customer_556,Ordinary Saving Account,Somali,43337.11,198,0.9999997404758517
CIF01000554,ACC0002000554,Customer_555,Ordinary Saving Account,Oromia,53663.93,274,0.9999997404758517
CIF01000842,ACC0002000842,Customer_843,Blatena Saving Account,Addis Ababa,125267.05,231,0.9999997404758517
CIF01000838,ACC0002000838,Customer_839,Werazut Saving Account,Oromia,10865.46,242,0.9999997404758517
CIF01000830,ACC0002000830,Customer_831,Ordinary Saving Account,Benishangul-Gumuz,110.55,262,0.9999997404758517
CIF01000806,ACC0002000806,Customer_807,Dekemezmur Saving Account,Addis Ababa,9260.27,298,0.9999997404758517
CIF01000804,ACC0002000804,Customer_805,Special Saving Account,Oromia,2633.21,272,0.9999997404758517
CIF01000792,ACC0002000792,Customer_793,Janderebaw Saving Account,Addis Ababa,8710.77,208,0.9999997404758517
CIF01000760,ACC0002000760,Customer_761,Blatena Saving Account,Amhara,988.45,262,0.9999997404758517
CIF01000756,ACC0002000756,Customer_757,Prime Customer Deposit Account,Gambela,1872.58,340,0.9999997404758517
CIF01000706,ACC0002000706,Customer_707,Dekemezmur Saving Account,Addis Ababa,1220.68,225,0.9999997404758517
CIF01000705,ACC0002000705,Customer_706,Ordinary Saving Account,Dire Dawa,7156.97,275,0.9999997404758517
CIF01000686,ACC0002000686,Customer_687,Ordinary Saving Account,Oromia,9012.94,339,0.9999997404758517
CIF01000668,ACC0002000668,Customer_669,Ordinary Saving Account,Oromia,70994.89,261,0.9999997404758517
CIF01000667,ACC0002000667,Customer_668,Abew Saving Account,Tigray,2607.05,355,0.9999997404758517
CIF01000665,ACC0002000665,Customer_666,Agape Saving Account,Amhara,3319.5,321,0.9999997404758517
CIF01000664,ACC0002000664,Customer_665,Dekemezmur Saving Account,Addis Ababa,66204.51,199,0.9999997404758517
CIF01000661,ACC0002000661,Customer_662,Special Saving Account,Oromia,17944.82,361,0.9999997404758517
CIF01001057,ACC0002001057,Customer_1058,Janderebaw Saving Account,Amhara,29118.8,206,0.9999997404758517
CIF01001055,ACC0002001055,Customer_1056,Blatena Saving Account,Sidama,2415.98,203,0.9999997404758517
CIF01001051,ACC0002001051,Customer_1052,Ahati Saving Account,Oromia,9489.74,268,0.9999997404758517
CIF01001045,ACC0002001045,Customer_1046,Dekemezmur Saving Account,Somali,12517.51,325,0.9999997404758517
CIF01001003,ACC0002001003,Customer_1004,Special Saving Account,Oromia,2819.41,236,0.9999997404758517
CIF01000997,ACC0002000997,Customer_998,Ordinary Saving Account,SNNPR,10814.84,362,0.9999997404758517
CIF01000996,ACC0002000996,Customer_997,Janderebaw Saving Account,Tigray,40234.24,198,0.9999997404758517
CIF01000991,ACC0002000991,Customer_992,Ahadu Bereket Saving Account,Sidama,58281.42,313,0.9999997404758517
CIF01000980,ACC0002000980,Customer_981,Hiruyan Saving Account,Addis Ababa,3299.64,272,0.9999997404758517
CIF01000969,ACC0002000969,Customer_970,Ordinary Saving Account,SNNPR,17318.26,222,0.9999997404758517
CIF01000959,ACC0002000959,Customer_960,Equb Saving Account,Gambela,1799.27,190,0.9999997404758517
CIF01000953,ACC0002000953,Customer_954,Prime Customer Deposit Account,Gambela,26792.39,198,0.9999997404758517
CIF01000951,ACC0002000951,Customer_952,Washera Saving Account,SNNPR,17917.82,351,0.9999997404758517
CIF01000864,ACC0002000864,Customer_865,Tirufat Savings Account,Oromia,65451.43,345,0.9999997404758517
CIF01000857,ACC0002000857,Customer_858,Werazut Saving Account,Dire Dawa,12923.87,294,0.9999997404758517
CIF01000845,ACC0002000845,Customer_846,Special Saving Account,Harari,416.17,307,0.9999997404758517
CIF01001181,ACC0002001181,Customer_1182,Ordinary Saving Account,Tigray,191373.94,336,0.9999997404758517
CIF01001176,ACC0002001176,Customer_1177,Ordinary Saving Account,Gambela,334571.35,307,0.9999997404758517
CIF01001164,ACC0002001164,Customer_1165,Couples Saving Deposit,SNNPR,10544.67,292,0.9999997404758517
CIF01001162,ACC0002001162,Customer_1163,Special Saving Account,Oromia,43276.07,325,0.9999997404758517
CIF01001160,ACC0002001160,Customer_1161,Ordinary Saving Account,Harari,446.4,286,0.9999997404758517
CIF01001151,ACC0002001151,Customer_1152,Prime Customer Deposit Account,Amhara,676.62,219,0.9999997404758517
CIF01001146,ACC0002001146,Customer_1147,Werazut Saving Account,Sidama,516.35,222,0.9999997404758517
CIF01001136,ACC0002001136,Customer_1137,Asrat Bekurat Saving Account,Addis Ababa,244.12,236,0.9999997404758517
CIF01001124,ACC0002001124,Customer_1125,Prime Customer Deposit Account,Amhara,7408.55,314,0.9999997404758517
CIF01001114,ACC0002001114,Customer_1115,Ordinary Saving Account,Oromia,93590.72,247,0.9999997404758517
CIF01001113,ACC0002001113,Customer_1114,Special Saving Account,Addis Ababa,19154.57,364,0.9999997404758517
CIF01001100,ACC0002001100,Customer_1101,Hiruyan Saving Account,Addis Ababa,3848.3,261,0.9999997404758517
CIF01001090,ACC0002001090,Customer_1091,Special Saving Account,Amhara,9384.09,265,0.9999997404758517
CIF01001070,ACC0002001070,Customer_1071,Ordinary Saving Account,SNNPR,1844.47,314,0.9999997404758517
CIF01001061,ACC0002001061,Customer_1062,Special Saving Account,Sidama,12860.59,235,0.9999997404758517
CIF01001058,ACC0002001058,Customer_1059,Abew Saving Account,Oromia,819.29,208,0.9999997404758517
CIF01001343,ACC0002001343,Customer_1344,Ordinary Saving Account,Amhara,6626.31,325,0.9999997404758517
CIF01001337,ACC0002001337,Customer_1338,Dekemezmur Saving Account,Oromia,1427.14,204,0.9999997404758517
CIF01001329,ACC0002001329,Customer_1330,Sitota Saving Deposit,Amhara,7097.28,229,0.9999997404758517
CIF01001321,ACC0002001321,Customer_1322,Special Saving Account,Tigray,11030.03,299,0.9999997404758517
CIF01001313,ACC0002001313,Customer_1314,Washera Saving Account,Addis Ababa,2160.45,337,0.9999997404758517
CIF01001304,ACC0002001304,Customer_1305,Special Saving Account,Addis Ababa,36850.72,205,0.9999997404758517
CIF01001287,ACC0002001287,Customer_1288,Ahati Saving Account,Sidama,17968.52,246,0.9999997404758517
CIF01001284,ACC0002001284,Customer_1285,Prime Customer Deposit Account,Somali,49257.83,182,0.9999997404758517
CIF01001271,ACC0002001271,Customer_1272,Equb Saving Account,Addis Ababa,1720.43,248,0.9999997404758517
CIF01001258,ACC0002001258,Customer_1259,Ordinary Saving Account,Afar,6114.26,259,0.9999997404758517
CIF01001250,ACC0002001250,Customer_1251,Special Saving Account,Somali,64131.78,363,0.9999997404758517
CIF01001234,ACC0002001234,Customer_1235,Asrat Bekurat Saving Account,SNNPR,33721.11,224,0.9999997404758517
CIF01001227,ACC0002001227,Customer_1228,Special Saving Account,Addis Ababa,46535.13,189,0.9999997404758517
CIF01001219,ACC0002001219,Customer_1220,Special Saving Account,Oromia,15256.53,198,0.9999997404758517
CIF01001215,ACC0002001215,Customer_1216,Janderebaw Saving Account,Oromia,18792.61,309,0.9999997404758517
CIF01001210,ACC0002001210,Customer_1211,Couples Saving Deposit,Addis Ababa,41190.57,279,0.9999997404758517
CIF01001508,ACC0002001508,Customer_1509,Washera Saving Account,Addis Ababa,16500.46,191,0.9999997404758517
CIF01001501,ACC0002001501,Customer_1502,Special Saving Account,Amhara,26536.34,315,0.9999997404758517
CIF01001485,ACC0002001485,Customer_1486,Agape Saving Account,Addis Ababa,137348.18,201,0.9999997404758517
CIF01001476,ACC0002001476,Customer_1477,Ordinary Saving Account,SNNPR,20717.72,364,0.9999997404758517
CIF01001474,ACC0002001474,Customer_1475,Ahati Saving Account,Somali,6208.58,309,0.9999997404758517
CIF01001465,ACC0002001465,Customer_1466,Tirufat Savings Account,Addis Ababa,2369.62,257,0.9999997404758517
CIF01001464,ACC0002001464,Customer_1465,Ordinary Saving Account,Tigray,7867.3,353,0.9999997404758517
CIF01001461,ACC0002001461,Customer_1462,Dekemezmur Saving Account,Tigray,8921.52,351,0.9999997404758517
CIF01001449,ACC0002001449,Customer_1450,Abew Saving Account,Oromia,283487.37,211,0.9999997404758517
CIF01001419,ACC0002001419,Customer_1420,Sitota Saving Deposit,Harari,2127.87,349,0.9999997404758517
CIF01001418,ACC0002001418,Customer_1419,Special Saving Account,Addis Ababa,6165.93,235,0.9999997404758517
CIF01001406,ACC0002001406,Customer_1407,Washera Saving Account,Amhara,14866.61,191,0.9999997404758517
CIF01001385,ACC0002001385,Customer_1386,Werazut Saving Account,Somali,27290.83,256,0.9999997404758517
CIF01001380,ACC0002001380,Customer_1381,Ahati Saving Account,SNNPR,824.85,237,0.9999997404758517
CIF01001374,ACC0002001374,Customer_1375,Ordinary Saving Account,Addis Ababa,9107.75,297,0.9999997404758517
CIF01001350,ACC0002001350,Customer_1351,Ordinary Saving Account,Addis Ababa,16765.56,346,0.9999997404758517
CIF01001595,ACC0002001595,Customer_1596,Werazut Saving Account,Oromia,13417.71,203,0.9999997404758517
CIF01001594,ACC0002001594,Customer_1595,Ahati Saving Account,Oromia,132008.58,209,0.9999997404758517
CIF01001588,ACC0002001588,Customer_1589,Ordinary Saving Account,Oromia,21066.43,306,0.9999997404758517
CIF01001587,ACC0002001587,Customer_1588,Agape Saving Account,Harari,7367.42,342,0.9999997404758517
CIF01001581,ACC0002001581,Customer_1582,Prime Customer Deposit Account,Addis Ababa,192868.45,322,0.9999997404758517
CIF01001572,ACC0002001572,Customer_1573,Blatena Saving Account,SNNPR,6322.28,248,0.9999997404758517
CIF01001568,ACC0002001568,Customer_1569,Janderebaw Saving Account,Oromia,56258.73,196,0.9999997404758517
CIF01001565,ACC0002001565,Customer_1566,Hiruyan Saving Account,Addis Ababa,8220.62,249,0.9999997404758517
CIF01001558,ACC0002001558,Customer_1559,Ahati Saving Account,Addis Ababa,26357.13,339,0.9999997404758517
CIF01001557,ACC0002001557,Customer_1558,Ahati Saving Account,Amhara,35498.78,305,0.9999997404758517
CIF01001551,ACC0002001551,Customer_1552,Ahati Saving Account,Addis Ababa,1940.4,255,0.9999997404758517
CIF01001547,ACC0002001547,Customer_1548,Dekemezmur Saving Account,SNNPR,3040.97,190,0.9999997404758517
CIF01001535,ACC0002001535,Customer_1536,Special Saving Account,Addis Ababa,67214.9,191,0.9999997404758517
CIF01001534,ACC0002001534,Customer_1535,Ordinary Saving Account,Tigray,132136.36,302,0.9999997404758517
CIF01001525,ACC0002001525,Customer_1526,Equb Saving Account,Somali,30362.15,281,0.9999997404758517
CIF01001516,ACC0002001516,Customer_1517,Special Saving Account,Addis Ababa,87019.46,281,0.9999997404758517
CIF01001766,ACC0002001766,Customer_1767,Blatena Saving Account,Amhara,9816.21,334,0.9999997404758517
CIF01001763,ACC0002001763,Customer_1764,Ordinary Saving Account,Sidama,549.88,262,0.9999997404758517
CIF01001753,ACC0002001753,Customer_1754,Hiruyan Saving Account,Oromia,26141.2,219,0.9999997404758517
CIF01001751,ACC0002001751,Customer_1752,Abew Saving Account,SNNPR,1489.77,355,0.9999997404758517
CIF01001725,ACC0002001725,Customer_1726,Special Saving Account,Amhara,6641.91,321,0.9999997404758517
CIF01001710,ACC0002001710,Customer_1711,Equb Saving Account,Dire Dawa,44127.67,362,0.9999997404758517
CIF01001699,ACC0002001699,Customer_1700,Ahati Saving Account,Harari,5810.49,222,0.9999997404758517
CIF01001696,ACC0002001696,Customer_1697,Ordinary Saving Account,Sidama,84120.99,310,0.9999997404758517
CIF01001672,ACC0002001672,Customer_1673,Washera Saving Account,Dire Dawa,7997.9,201,0.9999997404758517
CIF01001668,ACC0002001668,Customer_1669,Washera Saving Account,Addis Ababa,13877.05,291,0.9999997404758517
CIF01001658,ACC0002001658,Customer_1659,Blatena Saving Account,Amhara,134584.51,362,0.9999997404758517
CIF01001646,ACC0002001646,Customer_1647,Asrat Bekurat Saving Account,SNNPR,74194.65,239,0.9999997404758517
CIF01001630,ACC0002001630,Customer_1631,Abew Saving Account,Sidama,874.98,359,0.9999997404758517
CIF01001629,ACC0002001629,Customer_1630,Ordinary Saving Account,Sidama,4919.27,230,0.9999997404758517
CIF01001628,ACC0002001628,Customer_1629,Hiruyan Saving Account,Oromia,3314.62,246,0.9999997404758517
CIF01001597,ACC0002001597,Customer_1598,Abew Saving Account,SNNPR,6445.54,182,0.9999997404758517
CIF01001879,ACC0002001879,Customer_1880,Dekemezmur Saving Account,Afar,18163.72,221,0.9999997404758517
CIF01001876,ACC0002001876,Customer_1877,Janderebaw Saving Account,Amhara,37216.47,290,0.9999997404758517
CIF01001868,ACC0002001868,Customer_1869,Agape Saving Account,Oromia,8321.68,248,0.9999997404758517
CIF01001866,ACC0002001866,Customer_1867,Ordinary Saving Account,Oromia,30682.21,317,0.9999997404758517
CIF01001846,ACC0002001846,Customer_1847,Ahadu Bereket Saving Account,SNNPR,561256.55,183,0.9999997404758517
CIF01001843,ACC0002001843,Customer_1844,Ordinary Saving Account,Addis Ababa,1062.44,274,0.9999997404758517
CIF01001842,ACC0002001842,Customer_1843,Ordinary Saving Account,Addis Ababa,16385.02,273,0.9999997404758517
CIF01001835,ACC0002001835,Customer_1836,Ordinary Saving Account,Somali,8943.22,323,0.9999997404758517
CIF01001808,ACC0002001808,Customer_1809,Blatena Saving Account,Benishangul-Gumuz,64235.48,243,0.9999997404758517
CIF01001790,ACC0002001790,Customer_1791,Ordinary Saving Account,Addis Ababa,71257.88,200,0.9999997404758517
CIF01001787,ACC0002001787,Customer_1788,Ahati Saving Account,Amhara,743.09,226,0.9999997404758517
CIF01001782,ACC0002001782,Customer_1783,Ordinary Saving Account,Harari,1178.34,284,0.9999997404758517
CIF01001777,ACC0002001777,Customer_1778,Special Saving Account,Oromia,15883.43,244,0.9999997404758517
CIF01001774,ACC0002001774,Customer_1775,Equb Saving Account,Tigray,21931.62,355,0.9999997404758517
CIF01001771,ACC0002001771,Customer_1772,Dekemezmur Saving Account,Harari,285639.76,259,0.9999997404758517
CIF01001768,ACC0002001768,Customer_1769,Special Saving Account,Addis Ababa,1595.78,189,0.9999997404758517
CIF01001998,ACC0002001998,Customer_1999,Agape Saving Account,Oromia,6830.83,196,0.9999997404758517
CIF01001994,ACC0002001994,Customer_1995,Abew Saving Account,Oromia,226360.11,238,0.9999997404758517
CIF01001981,ACC0002001981,Customer_1982,Ahadu Bereket Saving Account,Addis Ababa,10636.84,186,0.9999997404758517
CIF01001977,ACC0002001977,Customer_1978,Agape Saving Account,Addis Ababa,19615.35,310,0.9999997404758517
CIF01001969,ACC0002001969,Customer_1970,Blatena Saving Account,SNNPR,108950.13,278,0.9999997404758517
CIF01001957,ACC0002001957,Customer_1958,Tirufat Savings Account,Tigray,1261.41,208,0.9999997404758517
CIF01001956,ACC0002001956,Customer_1957,Blatena Saving Account,Amhara,25001.85,350,0.9999997404758517
CIF01001954,ACC0002001954,Customer_1955,Janderebaw Saving Account,Dire Dawa,2998.98,339,0.9999997404758517
CIF01001941,ACC0002001941,Customer_1942,Special Saving Account,Oromia,3162.51,354,0.9999997404758517
CIF01001933,ACC0002001933,Customer_1934,Sitota Saving Deposit,Somali,2714.99,333,0.9999997404758517
CIF01001931,ACC0002001931,Customer_1932,Hiruyan Saving Account,Gambela,28090.76,240,0.9999997404758517
CIF01001928,ACC0002001928,Customer_1929,Ordinary Saving Account,Addis Ababa,3731.48,299,0.9999997404758517
CIF01001924,ACC0002001924,Customer_1925,Couples Saving Deposit,Addis Ababa,32370.57,278,0.9999997404758517
CIF01001905,ACC0002001905,Customer_1906,Ordinary Saving Account,SNNPR,18136.57,299,0.9999997404758517
CIF01001900,ACC0002001900,Customer_1901,Ordinary Saving Account,SNNPR,28492.73,328,0.9999997404758517
CIF01001899,ACC0002001899,Customer_1900,Werazut Saving Account,Addis Ababa,63129.38,283,0.9999997404758517
CIF01002185,ACC0002002185,Customer_2186,Janderebaw Saving Account,Amhara,26459.73,322,0.9999997404758517
CIF01002176,ACC0002002176,Customer_2177,Special Saving Account,Addis Ababa,1599.19,280,0.9999997404758517
CIF01002169,ACC0002002169,Customer_2170,Blatena Saving Account,SNNPR,9575.55,182,0.9999997404758517
CIF01002148,ACC0002002148,Customer_2149,Equb Saving Account,Oromia,92659.88,335,0.9999997404758517
CIF01002139,ACC0002002139,Customer_2140,Abew Saving Account,Addis Ababa,5721.79,282,0.9999997404758517
CIF01002121,ACC0002002121,Customer_2122,Ordinary Saving Account,Sidama,54089.46,318,0.9999997404758517
CIF01002115,ACC0002002115,Customer_2116,Ahati Saving Account,SNNPR,4936.11,263,0.9999997404758517
CIF01002107,ACC0002002107,Customer_2108,Prime Customer Deposit Account,Sidama,61083.48,255,0.9999997404758517
CIF01002101,ACC0002002101,Customer_2102,Ordinary Saving Account,Afar,15055.85,218,0.9999997404758517
CIF01002080,ACC0002002080,Customer_2081,Special Saving Account,Oromia,2977.58,234,0.9999997404758517
CIF01002061,ACC0002002061,Customer_2062,Ordinary Saving Account,Tigray,2697.58,243,0.9999997404758517
CIF01002046,ACC0002002046,Customer_2047,Blatena Saving Account,Gambela,407803.54,228,0.9999997404758517
CIF01002033,ACC0002002033,Customer_2034,Ordinary Saving Account,Addis Ababa,64421.71,251,0.9999997404758517
CIF01002029,ACC0002002029,Customer_2030,Special Saving Account,Amhara,20104.26,232,0.9999997404758517
CIF01002028,ACC0002002028,Customer_2029,Ordinary Saving Account,Addis Ababa,19229.22,202,0.9999997404758517
CIF01002004,ACC0002002004,Customer_2005,Washera Saving Account,SNNPR,3474.33,207,0.9999997404758517
CIF01002386,ACC0002002386,Customer_2387,Blatena Saving Account,Gambela,120983.38,201,0.9999997404758517
CIF01002379,ACC0002002379,Customer_2380,Dekemezmur Saving Account,Addis Ababa,3801.23,215,0.9999997404758517
CIF01002378,ACC0002002378,Customer_2379,Ordinary Saving Account,SNNPR,5092.28,212,0.9999997404758517
CIF01002363,ACC0002002363,Customer_2364,Janderebaw Saving Account,Oromia,22353.72,292,0.9999997404758517
CIF01002349,ACC0002002349,Customer_2350,Werazut Saving Account,Amhara,115.03,218,0.9999997404758517
CIF01002346,ACC0002002346,Customer_2347,Ordinary Saving Account,Oromia,1238.42,201,0.9999997404758517
CIF01002324,ACC0002002324,Customer_2325,Ordinary Saving Account,Amhara,249366.33,355,0.9999997404758517
CIF01002302,ACC0002002302,Customer_2303,Hiruyan Saving Account,Addis Ababa,1828.87,300,0.9999997404758517
CIF01002295,ACC0002002295,Customer_2296,Ordinary Saving Account,Oromia,51773.66,193,0.9999997404758517
CIF01002292,ACC0002002292,Customer_2293,Sitota Saving Deposit,Benishangul-Gumuz,73209.06,255,0.9999997404758517
CIF01002288,ACC0002002288,Customer_2289,Special Saving Account,Addis Ababa,2574.03,338,0.9999997404758517
CIF01002278,ACC0002002278,Customer_2279,Abew Saving Account,Addis Ababa,134938.59,358,0.9999997404758517
CIF01002270,ACC0002002270,Customer_2271,Abew Saving Account,Addis Ababa,2924.08,216,0.9999997404758517
CIF01002262,ACC0002002262,Customer_2263,Blatena Saving Account,Tigray,1634.35,202,0.9999997404758517
CIF01002253,ACC0002002253,Customer_2254,Special Saving Account,Addis Ababa,1898.61,276,0.9999997404758517
CIF01002195,ACC0002002195,Customer_2196,Ordinary Saving Account,Oromia,17216.9,236,0.9999997404758517
CIF01002485,ACC0002002485,Customer_2486,Special Saving Account,Dire Dawa,20969.77,272,0.9999997404758517
CIF01002482,ACC0002002482,Customer_2483,Werazut Saving Account,Benishangul-Gumuz,156.56,289,0.9999997404758517
CIF01002477,ACC0002002477,Customer_2478,Ordinary Saving Account,Addis Ababa,11692.06,196,0.9999997404758517
CIF01002470,ACC0002002470,Customer_2471,Special Saving Account,Oromia,602960.56,307,0.9999997404758517
CIF01002465,ACC0002002465,Customer_2466,Dekemezmur Saving Account,Oromia,406085.21,235,0.9999997404758517
CIF01002457,ACC0002002457,Customer_2458,Ordinary Saving Account,Oromia,949.69,254,0.9999997404758517
CIF01002453,ACC0002002453,Customer_2454,Ordinary Saving Account,SNNPR,142236.62,337,0.9999997404758517
CIF01002450,ACC0002002450,Customer_2451,Tirufat Savings Account,Oromia,25253.72,188,0.9999997404758517
CIF01002445,ACC0002002445,Customer_2446,Asrat Bekurat Saving Account,Dire Dawa,5889.95,357,0.9999997404758517
CIF01002419,ACC0002002419,Customer_2420,Hiruyan Saving Account,Amhara,7567.95,194,0.9999997404758517
CIF01002416,ACC0002002416,Customer_2417,Ordinary Saving Account,Addis Ababa,855.81,365,0.9999997404758517
CIF01002412,ACC0002002412,Customer_2413,Dekemezmur Saving Account,Sidama,30181.26,299,0.9999997404758517
CIF01002405,ACC0002002405,Customer_2406,Special Saving Account,Addis Ababa,18768.62,357,0.9999997404758517
CIF01002398,ACC0002002398,Customer_2399,Ordinary Saving Account,Addis Ababa,22506.64,332,0.9999997404758517
CIF01002395,ACC0002002395,Customer_2396,Ordinary Saving Account,Addis Ababa,101237.61,258,0.9999997404758517
CIF01002393,ACC0002002393,Customer_2394,Blatena Saving Account,Addis Ababa,17552.11,202,0.9999997404758517
CIF01002642,ACC0002002642,Customer_2643,Agape Saving Account,Amhara,8071.09,215,0.9999997404758517
CIF01002636,ACC0002002636,Customer_2637,Special Saving Account,Sidama,60826.07,272,0.9999997404758517
CIF01002634,ACC0002002634,Customer_2635,Abew Saving Account,Tigray,8720.32,304,0.9999997404758517
CIF01002628,ACC0002002628,Customer_2629,Ordinary Saving Account,Sidama,107391.32,311,0.9999997404758517
CIF01002627,ACC0002002627,Customer_2628,Tirufat Savings Account,Sidama,52539.92,273,0.9999997404758517
CIF01002624,ACC0002002624,Customer_2625,Abew Saving Account,SNNPR,20950.12,253,0.9999997404758517
CIF01002619,ACC0002002619,Customer_2620,Ahati Saving Account,Harari,7272.53,212,0.9999997404758517
CIF01002613,ACC0002002613,Customer_2614,Abew Saving Account,Addis Ababa,688.49,325,0.9999997404758517
